2021-10-20 14:47:11 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:11 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:47:12 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:47:12 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:13 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:13 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:14 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:14 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:14 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:14 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:14 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:14 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:15 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:15 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:15 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:15 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:17 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:17 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:18 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:18 INFO     正在从yiting下载 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:19 INFO     成功从yiting下载到了 ——> yiting_Ed Sheeran - I See Fire...
2021-10-20 14:47:19 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:19 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:19 INFO     正在从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:47:21 INFO     无法从qianqian下载 ——> qianqian_Lay It All On Me (feat. Ed Sheeran)...
2021-10-20 14:47:21 INFO     正在从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:21 INFO     无法从kugou下载 ——> kugou_Bad Habits...
2021-10-20 14:47:21 INFO     正在从yiting下载 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:23 INFO     成功从yiting下载到了 ——> yiting_I See Fire (performed by Ed Sheeran)...
2021-10-20 14:47:23 INFO     正在从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:47:23 INFO     无法从kugou下载 ——> kugou_Galway Girl...
2021-10-20 14:47:23 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:23 INFO     无法从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:23 INFO     正在从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:23 INFO     无法从kugou下载 ——> kugou_Perfect...
2021-10-20 14:47:23 INFO     正在从kugou下载 ——> kugou_Shape of You...
2021-10-20 14:47:23 INFO     无法从kugou下载 ——> kugou_Shape of You...
